User-ID,Location,Age
1,"nyc, new york, usa",
2,"stockton, california, usa",18.0
3,"moscow, yukon territory, russia",
4,"porto, v.n.gaia, portugal",17.0
5,"farnborough, hants, united kingdom",
6,"santa monica, california, usa",61.0
7,"washington, dc, usa",
8,"timmins, ontario, canada",
9,"germantown, tennessee, usa",
10,"albacete, wisconsin, spain",26.0
11,"melbourne, victoria, australia",14.0
12,"fort bragg, california, usa",
13,"barcelona, barcelona, spain",26.0
14,"mediapolis, iowa, usa",
15,"calgary, alberta, canada",
16,"albuquerque, new mexico, usa",
17,"chesapeake, virginia, usa",
18,"rio de janeiro, rio de janeiro, brazil",25.0
19,"weston, ,",14.0